runId,experimentId,variant,totalRequests,distinctTransactions,completed,failed,rolledBack,rollbackFailed,idempotentReplays,rejectedLockAttempts,rejectedRequests,confirmedReservations,releasedReservations,unresolvedLocks,compensationsAttempted,compensationSuccessRate,paymentCaptured,paymentAuthFailed,paymentCaptureFailed,paymentRefunded,paymentVoided,paymentReversalFailed,riskLevels,recoveryRecommendations,e2eMeanMs,e2eP50Ms,e2eP95Ms,e2eP99Ms,e2eMaxMs,sagaMeanMs,sagaP95Ms,throughputRps,wallClockMs,concurrency,observedMaxInFlight
20260924_215150_n6lu,E01-baseline-success,baseline,20,20,20,0,0,0,0,0,{},60,0,0,0,,20,0,0,0,0,0,"{""LOW"":20}",{},405.475,373.466,500.281,811.878,811.878,358.6,453,2.283,8758.673,1,1
20260924_215150_n6lu,E02-first-provider-failure,reserve@hotel,10,10,0,0,10,0,0,0,{},0,30,0,0,,0,0,0,0,10,0,"{""LOW"":10}",{},223.2,224.068,291.142,291.142,291.142,170.8,218,4.013,2492.175,1,1
20260924_215150_n6lu,E03-failure-after-multiple-reservations,reserve@transport,10,10,0,0,10,0,0,0,{},0,30,0,20,1,0,0,0,0,10,0,"{""LOW"":10}",{},366.702,351.178,482.375,482.375,482.375,324.1,423,2.521,3966.509,1,1
20260924_215150_n6lu,E04-successful-compensation,confirm@transport,10,10,0,0,10,0,0,0,{},0,30,0,30,1,10,0,0,10,0,0,"{""LOW"":10}",{},447.64,463.461,620.383,620.383,620.383,415.3,566,2.139,4674.787,1,1
20260924_215150_n6lu,E05-compensation-failure,cancel-flight-fails,10,10,0,0,0,10,0,0,{},10,20,10,20,0.5,0,0,0,0,10,0,"{""LOW"":10}","{""MANUAL_OPERATOR_REVIEW"":10}",339.517,332.696,433.735,433.735,433.735,263.2,324,2.727,3666.78,1,1
20260924_215150_n6lu,E05-compensation-failure,cancel-flight-and-hotel-fail,10,10,0,0,0,10,0,0,{},20,10,20,20,0,0,0,0,0,10,0,"{""LOW"":10}","{""MANUAL_OPERATOR_REVIEW"":10}",396.321,366.02,511.569,511.569,511.569,306.3,411,2.372,4216.536,1,1
20260924_215150_n6lu,E06-payment-authorization-failure,authorize-declined,10,10,0,0,10,0,0,0,{},0,30,0,0,,0,10,0,0,0,0,"{""LOW"":10}",{},218.347,198.443,300.241,300.241,300.241,152.1,207,4.043,2473.463,1,1
20260924_215150_n6lu,E07-payment-capture-failure,capture-failed,10,10,0,0,10,0,0,0,{},0,30,0,30,1,0,0,10,10,0,0,"{""LOW"":10}",{},430.778,449.202,502.851,502.851,502.851,388,437,2.177,4593.19,1,1
20260924_215150_n6lu,E08-duplicate-idempotency,duplicate-success,20,5,5,0,0,0,15,0,{},15,0,0,0,,5,0,0,0,0,0,"{""LOW"":5}",{},81.739,7.293,322.331,331.44,331.44,275.2,300,9.745,2052.326,1,1
20260924_215150_n6lu,E08-duplicate-idempotency,duplicate-after-rollback,20,5,0,0,5,0,15,0,{},0,15,0,10,1,0,0,0,0,5,0,"{""LOW"":5}",{},84.426,6.751,355.466,363.716,363.716,281.6,322,9.633,2076.103,1,1
20260924_215150_n6lu,E08-duplicate-idempotency,payload-mismatch,5,0,0,0,0,0,0,0,"{""IDEMPOTENCY_KEY_REUSED"":5}",0,0,0,0,,0,0,0,0,0,0,{},{},6.675,6.644,8.833,8.833,8.833,,,147.667,33.86,1,1
20260924_215150_n6lu,E09-concurrent-same-idempotency-key,c2,6,3,3,0,0,0,3,0,{},9,0,0,0,,3,0,0,0,0,0,"{""LOW"":3}",{},368.923,383.928,430.55,430.55,430.55,320,359,4.885,1228.196,2,2
20260924_215150_n6lu,E09-concurrent-same-idempotency-key,c4,12,3,3,0,0,0,9,0,{},9,0,0,0,,3,0,0,0,0,0,"{""LOW"":3}",{},385.784,379.03,515.04,515.04,515.04,293.667,336,8.33,1440.547,4,4
20260924_215150_n6lu,E09-concurrent-same-idempotency-key,c8,24,3,3,0,0,0,21,0,{},9,0,0,0,,3,0,0,0,0,0,"{""LOW"":3}",{},430.884,481.441,827.418,873.953,873.953,308.333,432,15.007,1599.27,8,8
20260924_215150_n6lu,E09-concurrent-same-idempotency-key,c16,48,3,3,0,0,0,45,0,{},9,0,0,0,,3,0,0,0,0,0,"{""LOW"":3}",{},136.705,134.089,197.77,210.305,210.305,75.667,95,77.444,619.799,16,16
20260924_215150_n6lu,E10-concurrent-same-resource,C5-N20,20,20,5,15,0,0,0,15,{},5,0,0,0,,5,0,0,0,0,0,"{""LOW"":20}",{},321.195,313.285,510.549,526.106,526.106,14.7,30,37.76,529.656,20,20
20260924_215150_n6lu,E10-concurrent-same-resource,C1-N10-last-seat,10,10,1,9,0,0,0,9,{},1,0,0,0,,1,0,0,0,0,0,"{""LOW"":10}",{},149.702,117.469,309.753,309.753,309.753,13.7,31,29.707,336.623,10,10
