provider_id,provider_name,provider_type,api_endpoint,response_time_ms,reliability_score,supports_rollback,supports_idempotency,status
PROV00001,TravelNest,hotel,https://api.example.com/hotel/1,2495,0.96,yes,no,maintenance
PROV00002,QuickRide,activity,https://api.example.com/activity/2,1628,0.902,yes,no,maintenance
PROV00003,BookGuard Transport,flight,https://api.example.com/flight/3,2476,0.968,no,yes,active
PROV00004,QuickRide,transport,https://api.example.com/transport/4,2358,0.998,no,yes,maintenance
PROV00005,HolidayHub,activity,https://api.example.com/activity/5,2202,0.951,yes,no,maintenance
PROV00006,QuickRide,transport,https://api.example.com/transport/6,1907,0.901,no,no,active
PROV00007,BookGuard Hotels,flight,https://api.example.com/flight/7,1478,0.943,yes,no,active
PROV00008,BookGuard Hotels,activity,https://api.example.com/activity/8,1306,0.935,no,no,active
PROV00009,UrbanMove,flight,https://api.example.com/flight/9,720,0.914,no,no,active
PROV00010,CityStay,hotel,https://api.example.com/hotel/10,1785,0.924,yes,yes,active
PROV00011,TravelNest,activity,https://api.example.com/activity/11,927,0.967,yes,yes,active
PROV00012,BookGuard Transport,hotel,https://api.example.com/hotel/12,730,0.976,no,yes,active
PROV00013,BookGuard Activities,flight,https://api.example.com/flight/13,2262,0.955,yes,no,maintenance
PROV00014,QuickRide,transport,https://api.example.com/transport/14,633,0.971,yes,yes,active
PROV00015,BookGuard Hotels,hotel,https://api.example.com/hotel/15,1901,0.986,yes,yes,active
PROV00016,TravelNest,transport,https://api.example.com/transport/16,1388,0.948,no,no,active
PROV00017,TripSphere,flight,https://api.example.com/flight/17,1486,0.937,no,yes,maintenance
PROV00018,TripSphere,hotel,https://api.example.com/hotel/18,2063,0.951,yes,no,active
PROV00019,BookGuard Hotels,flight,https://api.example.com/flight/19,415,0.927,yes,yes,active
PROV00020,TripSphere,hotel,https://api.example.com/hotel/20,809,0.972,yes,yes,active
PROV00021,TravelNest,hotel,https://api.example.com/hotel/21,827,0.972,yes,no,active
PROV00022,SkyConnect,hotel,https://api.example.com/hotel/22,253,0.94,yes,no,active
PROV00023,BookGuard Activities,flight,https://api.example.com/flight/23,1114,0.992,no,yes,active
PROV00024,BookGuard Activities,hotel,https://api.example.com/hotel/24,1967,0.961,yes,no,maintenance
PROV00025,TripSphere,activity,https://api.example.com/activity/25,1907,0.932,yes,yes,active
PROV00026,BookGuard Flights,transport,https://api.example.com/transport/26,878,0.946,yes,yes,active
PROV00027,CityStay,activity,https://api.example.com/activity/27,824,0.924,no,no,active
PROV00028,TravelNest,transport,https://api.example.com/transport/28,2034,0.987,yes,yes,active
