transaction_id,booking_id,customer_id,transaction_type,provider_count,total_amount,currency,status,failure_type,rollback_required,retry_count,created_at
TXN000001,BK000450,CUST00153,rollback,4,100216,INR,failed,network_error,yes,1,2026-11-05
TXN000002,BK000338,CUST00196,multi_provider_booking,2,15181,INR,failed,network_error,yes,3,2027-01-23
TXN000003,BK000464,CUST00047,retry,3,109241,INR,failed,network_error,yes,2,2027-02-18
TXN000004,BK000146,CUST00134,retry,4,10217,INR,failed,payment_failed,yes,3,2027-02-17
TXN000005,BK000013,CUST00137,single_booking,2,5892,INR,failed,provider_timeout,yes,1,2027-03-23
TXN000006,BK000389,CUST00014,multi_provider_booking,4,100237,INR,failed,inventory_unavailable,yes,1,2026-11-04
TXN000007,BK000245,CUST00009,rollback,2,89634,INR,failed,inventory_unavailable,yes,3,2027-01-21
TXN000008,BK000438,CUST00187,single_booking,4,121355,INR,failed,provider_rejected,yes,2,2027-01-16
TXN000009,BK000364,CUST00148,single_booking,1,133067,INR,failed,provider_rejected,yes,3,2026-11-25
TXN000010,BK000517,CUST00082,rollback,3,132133,INR,failed,provider_rejected,yes,2,2026-11-28
TXN000011,BK000281,CUST00050,retry,4,105586,INR,success,,no,3,2026-12-21
TXN000012,BK000137,CUST00188,retry,4,114880,INR,failed,provider_rejected,yes,0,2027-01-11
TXN000013,BK000550,CUST00174,rollback,3,35112,INR,failed,network_error,yes,3,2026-11-06
TXN000014,BK000286,CUST00065,retry,3,28225,INR,failed,validation_error,yes,3,2026-12-27
TXN000015,BK000207,CUST00063,multi_provider_booking,2,64810,INR,failed,network_error,yes,2,2026-10-25
TXN000016,BK000195,CUST00171,retry,3,57170,INR,failed,inventory_unavailable,yes,1,2026-11-02
TXN000017,BK000267,CUST00045,single_booking,1,5822,INR,failed,network_error,yes,1,2027-01-18
TXN000018,BK000891,CUST00241,retry,4,88541,INR,failed,provider_rejected,yes,0,2026-12-16
TXN000019,BK000037,CUST00197,rollback,2,56630,INR,failed,network_error,yes,0,2026-11-28
TXN000020,BK000458,CUST00029,rollback,2,79112,INR,partial_failure,,yes,2,2027-01-13
TXN000021,BK000565,CUST00120,rollback,1,107140,INR,failed,validation_error,yes,1,2026-10-11
TXN000022,BK000914,CUST00220,single_booking,1,45296,INR,failed,network_error,yes,1,2027-01-17
TXN000023,BK000373,CUST00007,single_booking,2,73173,INR,failed,validation_error,yes,0,2027-01-08
TXN000024,BK000653,CUST00140,single_booking,3,60268,INR,failed,validation_error,yes,0,2027-02-03
TXN000025,BK000702,CUST00234,single_booking,3,88295,INR,success,,no,3,2027-02-23
TXN000026,BK000653,CUST00201,multi_provider_booking,3,119092,INR,failed,validation_error,yes,2,2026-10-16
TXN000027,BK000861,CUST00278,rollback,4,54215,INR,failed,network_error,yes,2,2026-11-15
TXN000028,BK000403,CUST00246,rollback,3,38640,INR,failed,payment_failed,yes,1,2026-10-27
TXN000029,BK000526,CUST00024,rollback,3,93364,INR,failed,provider_rejected,yes,0,2026-12-28
TXN000030,BK000897,CUST00138,retry,3,100066,INR,failed,provider_timeout,yes,2,2026-12-18
TXN000031,BK000813,CUST00192,multi_provider_booking,4,42965,INR,failed,provider_timeout,yes,2,2026-12-21
TXN000032,BK000581,CUST00054,rollback,1,78675,INR,failed,inventory_unavailable,yes,0,2026-12-26
