hotel_id,name,city,location,rating,reviews,price_per_night,currency,hotel_type
HOT00001,Grand Chennai Heights 1,Chennai,"Chennai, Tamil Nadu, India",3.3,2311,4258,INR,Luxury Hotel
HOT00002,Royal Varanasi Hotel 2,Varanasi,"Varanasi, Uttar Pradesh, India",2.9,1560,8064,INR,Resort
HOT00003,Green Ooty Inn 3,Ooty,"Ooty, Tamil Nadu, India",4.0,6898,8123,INR,Business Hotel
HOT00004,Central Agra Inn 4,Agra,"Agra, Uttar Pradesh, India",4.4,2640,14748,INR,Boutique Hotel
HOT00005,City Goa Palace 5,Goa,"Goa, Goa, India",4.8,5539,4249,INR,Hotel
HOT00006,Royal Lucknow Retreat 6,Lucknow,"Lucknow, Uttar Pradesh, India",4.6,4358,2323,INR,Luxury Hotel
HOT00007,Skyline Manali Residency 7,Manali,"Manali, Himachal Pradesh, India",4.8,6226,3482,INR,Budget Hotel
HOT00008,Urban Kochi Retreat 8,Kochi,"Kochi, Kerala, India",4.0,1164,2401,INR,Luxury Hotel
HOT00009,Central Jaipur Residency 9,Jaipur,"Jaipur, Rajasthan, India",4.6,1679,13355,INR,Boutique Hotel
HOT00010,Urban Manali Retreat 10,Manali,"Manali, Himachal Pradesh, India",3.1,5845,7765,INR,Luxury Hotel
HOT00011,Comfort Goa Residency 11,Goa,"Goa, Goa, India",4.1,2828,8921,INR,Resort
HOT00012,Palm Manali Heights 12,Manali,"Manali, Himachal Pradesh, India",4.9,3623,11526,INR,Hotel
HOT00013,Grand Jaipur Retreat 13,Jaipur,"Jaipur, Rajasthan, India",3.6,1109,7813,INR,Budget Hotel
HOT00014,Lakeview Mysuru Resort 14,Mysuru,"Mysuru, Karnataka, India",3.6,7542,5581,INR,Boutique Hotel
HOT00015,Lakeview Hyderabad Lodge 15,Hyderabad,"Hyderabad, Telangana, India",3.9,7044,13987,INR,Boutique Hotel
HOT00016,City Jaipur Lodge 16,Jaipur,"Jaipur, Rajasthan, India",3.8,796,4492,INR,Resort
HOT00017,Urban Kolkata Hotel 17,Kolkata,"Kolkata, West Bengal, India",4.1,6329,13404,INR,Budget Hotel
HOT00018,Skyline Manali Heights 18,Manali,"Manali, Himachal Pradesh, India",4.8,213,4653,INR,Luxury Hotel
HOT00019,Central Varanasi Retreat 19,Varanasi,"Varanasi, Uttar Pradesh, India",3.0,7148,6082,INR,Business Hotel
HOT00020,Comfort Bengaluru Heights 20,Bengaluru,"Bengaluru, Karnataka, India",4.8,2952,17535,INR,Hotel
HOT00021,Urban Kochi Lodge 21,Kochi,"Kochi, Kerala, India",4.1,2529,13152,INR,Resort
HOT00022,Skyline Varanasi Inn 22,Varanasi,"Varanasi, Uttar Pradesh, India",4.1,8030,1538,INR,Hotel
HOT00023,Central Ahmedabad Palace 23,Ahmedabad,"Ahmedabad, Gujarat, India",2.9,1315,3706,INR,Luxury Hotel
HOT00024,Royal Shimla Lodge 24,Shimla,"Shimla, Himachal Pradesh, India",4.4,2128,16474,INR,Budget Hotel
HOT00025,Central Kolkata Lodge 25,Kolkata,"Kolkata, West Bengal, India",4.6,6957,7840,INR,Budget Hotel
HOT00026,Comfort Pune Heights 26,Pune,"Pune, Maharashtra, India",3.6,6143,15255,INR,Budget Hotel
HOT00027,Royal Manali Palace 27,Manali,"Manali, Himachal Pradesh, India",3.3,5564,1589,INR,Budget Hotel
HOT00028,Lakeview Varanasi Palace 28,Varanasi,"Varanasi, Uttar Pradesh, India",2.8,989,8401,INR,Hotel
HOT00029,Regal Mumbai Residency 29,Mumbai,"Mumbai, Maharashtra, India",3.9,4587,16806,INR,Resort
HOT00030,City Varanasi Resort 30,Varanasi,"Varanasi, Uttar Pradesh, India",3.3,7774,14238,INR,Resort
HOT00031,Royal Chennai Hotel 31,Chennai,"Chennai, Tamil Nadu, India",3.5,6760,16203,INR,Luxury Hotel
HOT00032,Urban Mumbai Residency 32,Mumbai,"Mumbai, Maharashtra, India",2.9,5584,4480,INR,Resort
HOT00033,Lakeview Pune Lodge 33,Pune,"Pune, Maharashtra, India",3.7,6937,6912,INR,Boutique Hotel
HOT00034,Lakeview Manali Residency 34,Manali,"Manali, Himachal Pradesh, India",3.7,1629,2557,INR,Luxury Hotel
HOT00035,Grand Varanasi Residency 35,Varanasi,"Varanasi, Uttar Pradesh, India",4.7,3897,6349,INR,Business Hotel
HOT00036,Heritage Shimla Palace 36,Shimla,"Shimla, Himachal Pradesh, India",4.6,985,6294,INR,Business Hotel
HOT00037,Palm Bengaluru Heights 37,Bengaluru,"Bengaluru, Karnataka, India",4.7,7479,10247,INR,Business Hotel
HOT00038,Urban Varanasi Resort 38,Varanasi,"Varanasi, Uttar Pradesh, India",3.1,4886,8033,INR,Hotel
