runId,experimentId,category,passed,criteriaPassed,criteriaTotal,totalRequests,distinctTransactions,completed,failed,rolledBack,rollbackFailed,idempotentReplays,rejectedLockAttempts,rejectedRequests,confirmedReservations,releasedReservations,unresolvedLocks,compensationsAttempted,compensationSuccessRate,paymentCaptured,paymentAuthFailed,paymentCaptureFailed,paymentRefunded,paymentVoided,paymentReversalFailed,riskLevels,recoveryRecommendations,e2eMeanMs,e2eP50Ms,e2eP95Ms,e2eP99Ms,e2eMaxMs,sagaMeanMs,sagaP95Ms,throughputRps,wallClockMs,concurrency,observedMaxInFlight
20260924_215150_n6lu,E01-baseline-success,1,true,8,8,20,20,20,0,0,0,0,0,{},60,0,0,0,,20,0,0,0,0,0,"{""LOW"":20}",{},405.475,373.466,500.281,811.878,811.878,358.6,453,2.283,8758.673,1,1
20260924_215150_n6lu,E02-first-provider-failure,2,true,9,9,10,10,0,0,10,0,0,0,{},0,30,0,0,,0,0,0,0,10,0,"{""LOW"":10}",{},223.2,224.068,291.142,291.142,291.142,170.8,218,4.013,2492.175,1,1
20260924_215150_n6lu,E03-failure-after-multiple-reservations,3,true,9,9,10,10,0,0,10,0,0,0,{},0,30,0,20,1,0,0,0,0,10,0,"{""LOW"":10}",{},366.702,351.178,482.375,482.375,482.375,324.1,423,2.521,3966.509,1,1
20260924_215150_n6lu,E04-successful-compensation,4,true,9,9,10,10,0,0,10,0,0,0,{},0,30,0,30,1,10,0,0,10,0,0,"{""LOW"":10}",{},447.64,463.461,620.383,620.383,620.383,415.3,566,2.139,4674.787,1,1
20260924_215150_n6lu,E05-compensation-failure,5,true,9,9,20,20,0,0,0,20,0,0,{},30,30,30,40,0.25,0,0,0,0,20,0,"{""LOW"":20}","{""MANUAL_OPERATOR_REVIEW"":20}",367.919,351.072,493.225,511.569,511.569,284.75,401,2.537,7883.316,1,1
20260924_215150_n6lu,E06-payment-authorization-failure,6,true,8,8,10,10,0,0,10,0,0,0,{},0,30,0,0,,0,10,0,0,0,0,"{""LOW"":10}",{},218.347,198.443,300.241,300.241,300.241,152.1,207,4.043,2473.463,1,1
20260924_215150_n6lu,E07-payment-capture-failure,7,true,8,8,10,10,0,0,10,0,0,0,{},0,30,0,30,1,0,0,10,10,0,0,"{""LOW"":10}",{},430.778,449.202,502.851,502.851,502.851,388,437,2.177,4593.19,1,1
20260924_215150_n6lu,E08-duplicate-idempotency,8,true,9,9,45,10,5,0,5,0,30,0,"{""IDEMPOTENCY_KEY_REUSED"":5}",15,15,0,10,1,5,0,0,0,5,0,"{""LOW"":10}",{},74.593,6.8,345.377,363.716,363.716,278.4,322,10.811,4162.289,1,1
20260924_215150_n6lu,E09-concurrent-same-idempotency-key,9,true,8,8,90,12,12,0,0,0,78,0,{},36,0,0,0,,12,0,0,0,0,0,"{""LOW"":12}",{},263.844,166.724,648.053,873.953,873.953,249.417,432,18.413,4887.812,16,16
20260924_215150_n6lu,E10-concurrent-same-resource,10,true,10,10,30,30,6,24,0,0,0,24,{},6,0,0,0,,6,0,0,0,0,0,"{""LOW"":30}",{},264.031,252.816,510.549,526.106,526.106,14.367,31,34.631,866.278,20,20
20260924_215150_n6lu,E11-lock-contention,11,true,7,7,192,192,192,0,0,0,0,0,{},384,0,0,0,,192,0,0,0,0,0,"{""LOW"":192}",{},783.582,690.833,2044.958,2237.86,2250.108,94.104,174,8.335,23035.059,16,16
20260924_215150_n6lu,E12-multi-provider-failure-points,12,true,7,7,81,81,12,0,60,9,0,0,{},39,198,9,138,0.9348,42,0,0,30,39,0,"{""LOW"":51,""MEDIUM"":30}","{""MANUAL_OPERATOR_REVIEW"":9}",221.023,171.293,539.95,578.791,578.791,194.296,495,4.237,19117.301,1,1
20260924_215150_n6lu,E13-risk-under-provider-conditions,13,true,9,9,48,48,48,0,0,0,0,0,{},138,0,0,0,,48,0,0,0,0,0,"{""LOW"":12,""HIGH"":24,""MEDIUM"":12}",{},194.336,180.992,319.089,428.448,428.448,171.833,272,4.693,10229.056,1,1
20260924_215150_n6lu,E14-recovery-advisor-classification,14,true,7,7,27,27,0,0,21,6,0,0,{},3,78,3,54,0.9444,0,0,0,0,24,3,"{""LOW"":27}","{""MANUAL_OPERATOR_REVIEW"":6}",237.25,240.712,398.061,400.071,400.071,199.074,306,3.95,6835.192,1,1
20260924_215150_n6lu,E15-seeded-mixed-workload,12,true,5,5,40,40,8,0,30,2,0,0,{},21,73,2,46,0.9565,22,0,0,14,18,0,"{""LOW"":33,""MEDIUM"":7}","{""MANUAL_OPERATOR_REVIEW"":2}",463.688,495.142,596.718,646.369,646.369,50.375,86,15.549,2572.523,8,8
