payment_id,booking_id,customer_id,transaction_reference,amount,currency,payment_method,payment_status,gateway,created_at,failure_reason
PAY000001,BK000468,CUST00258,TXN74786336,112331,INR,Wallet,failed,PayU,2027-03-07,invalid_payment
PAY000002,BK000934,CUST00087,TXN56138964,112984,INR,Credit Card,refunded,PayU,2026-10-08,
PAY000003,BK000235,CUST00226,TXN36602767,22682,INR,Credit Card,success,Stripe,2026-10-15,
PAY000004,BK000663,CUST00163,TXN78661278,46532,INR,Net Banking,success,Razorpay,2026-11-05,
PAY000005,BK000805,CUST00284,TXN65377422,36980,INR,Net Banking,success,Cashfree,2026-12-25,
PAY000006,BK000778,CUST00027,TXN70048635,86614,INR,Net Banking,pending,Stripe,2026-12-03,
PAY000007,BK000234,CUST00074,TXN20655733,78119,INR,UPI,refunded,Razorpay,2026-12-28,
PAY000008,BK000406,CUST00281,TXN54005262,101810,INR,Debit Card,success,Stripe,2026-10-14,
PAY000009,BK000841,CUST00096,TXN36730443,50878,INR,Wallet,success,PayU,2026-10-15,
PAY000010,BK000486,CUST00114,TXN80209923,48391,INR,Net Banking,success,PayU,2027-03-14,
PAY000011,BK000310,CUST00050,TXN97572565,64092,INR,Net Banking,success,Razorpay,2026-11-14,
PAY000012,BK000130,CUST00205,TXN40722945,50005,INR,Net Banking,success,Stripe,2027-01-08,
PAY000013,BK000930,CUST00241,TXN75319612,31273,INR,Net Banking,success,Stripe,2026-12-19,
PAY000014,BK000341,CUST00069,TXN34242235,110154,INR,Debit Card,success,Cashfree,2026-11-15,
PAY000015,BK000099,CUST00006,TXN42959525,98368,INR,Wallet,success,Razorpay,2026-12-22,
PAY000016,BK000369,CUST00134,TXN35469407,71014,INR,Debit Card,pending,Cashfree,2027-03-11,
PAY000017,BK000162,CUST00093,TXN84333637,44289,INR,Debit Card,success,Razorpay,2027-03-21,
PAY000018,BK000442,CUST00011,TXN99281075,84743,INR,Net Banking,success,Cashfree,2026-10-16,
PAY000019,BK000656,CUST00205,TXN98515611,19651,INR,Credit Card,success,PayU,2027-01-31,
PAY000020,BK000570,CUST00013,TXN77448493,32950,INR,Wallet,success,PayU,2026-10-14,
PAY000021,BK000883,CUST00195,TXN87471067,44647,INR,Wallet,success,Razorpay,2026-10-06,
PAY000022,BK000033,CUST00267,TXN62508923,110089,INR,Wallet,success,Razorpay,2027-03-16,
PAY000023,BK000134,CUST00187,TXN79247495,62781,INR,UPI,pending,Cashfree,2027-03-20,
PAY000024,BK000937,CUST00299,TXN17000501,87774,INR,Net Banking,failed,Cashfree,2027-01-14,gateway_timeout
PAY000025,BK000060,CUST00208,TXN44015094,83390,INR,Debit Card,success,Stripe,2027-02-07,
