runId,experimentId,criterion,passed,description,expected,actual
20260924_215150_n6lu,E01-baseline-success,all-completed,true,Every request completes,20,20
20260924_215150_n6lu,E01-baseline-success,locks-confirmed,true,One CONFIRMED lock per item (3 per booking),60,60
20260924_215150_n6lu,E01-baseline-success,payment-captured,true,Payment captured for every booking,20,20
20260924_215150_n6lu,E01-baseline-success,no-compensation,true,No compensation attempted,0,0
20260924_215150_n6lu,E01-baseline-success,inv:terminal-states,true,Every transaction reached a terminal state,[],[]
20260924_215150_n6lu,E01-baseline-success,inv:no-active-locks,true,No ACTIVE (provisional) lock outlives its transaction,0,0
20260924_215150_n6lu,E01-baseline-success,inv:no-capacity-held-after-rollback,true,ROLLED_BACK/FAILED transactions hold no CONFIRMED locks,0,0
20260924_215150_n6lu,E01-baseline-success,inv:no-server-errors,true,No 5xx responses,0,0
20260924_215150_n6lu,E02-first-provider-failure,all-rolled-back,true,Every transaction ends ROLLED_BACK,10,10
20260924_215150_n6lu,E02-first-provider-failure,one-reserve-attempt,true,Exactly one failed reserve per transaction and no successful reserves,"[10,0]","[10,0]"
20260924_215150_n6lu,E02-first-provider-failure,no-compensation,true,Nothing to compensate,0,0
20260924_215150_n6lu,E02-first-provider-failure,payment-voided,true,Authorized payment voided,10,10
20260924_215150_n6lu,E02-first-provider-failure,locks-released,true,All 3 locks per transaction released,30,30
20260924_215150_n6lu,E02-first-provider-failure,inv:terminal-states,true,Every transaction reached a terminal state,[],[]
20260924_215150_n6lu,E02-first-provider-failure,inv:no-active-locks,true,No ACTIVE (provisional) lock outlives its transaction,0,0
20260924_215150_n6lu,E02-first-provider-failure,inv:no-capacity-held-after-rollback,true,ROLLED_BACK/FAILED transactions hold no CONFIRMED locks,0,0
20260924_215150_n6lu,E02-first-provider-failure,inv:no-server-errors,true,No 5xx responses,0,0
20260924_215150_n6lu,E03-failure-after-multiple-reservations,all-rolled-back,true,Every transaction ends ROLLED_BACK,10,10
20260924_215150_n6lu,E03-failure-after-multiple-reservations,two-compensations,true,Two successful compensations per transaction,20,20
20260924_215150_n6lu,E03-failure-after-multiple-reservations,compensation-rate,true,Compensation success rate is 1,1,1
20260924_215150_n6lu,E03-failure-after-multiple-reservations,no-capture,true,Payment never captured; authorization voided,"[0,10]","[0,10]"
20260924_215150_n6lu,E03-failure-after-multiple-reservations,no-held-capacity,true,No CONFIRMED locks remain,0,0
20260924_215150_n6lu,E03-failure-after-multiple-reservations,inv:terminal-states,true,Every transaction reached a terminal state,[],[]
20260924_215150_n6lu,E03-failure-after-multiple-reservations,inv:no-active-locks,true,No ACTIVE (provisional) lock outlives its transaction,0,0
20260924_215150_n6lu,E03-failure-after-multiple-reservations,inv:no-capacity-held-after-rollback,true,ROLLED_BACK/FAILED transactions hold no CONFIRMED locks,0,0
20260924_215150_n6lu,E03-failure-after-multiple-reservations,inv:no-server-errors,true,No 5xx responses,0,0
20260924_215150_n6lu,E04-successful-compensation,all-rolled-back,true,Every transaction ends ROLLED_BACK,10,10
20260924_215150_n6lu,E04-successful-compensation,all-compensated,true,All three reservations compensated per transaction,30,30
20260924_215150_n6lu,E04-successful-compensation,compensation-rate,true,Compensation success rate is 1,1,1
20260924_215150_n6lu,E04-successful-compensation,payment-refunded,true,Captured payment refunded,"[10,10]","[10,10]"
20260924_215150_n6lu,E04-successful-compensation,no-held-capacity,true,No CONFIRMED locks remain,0,0
20260924_215150_n6lu,E04-successful-compensation,inv:terminal-states,true,Every transaction reached a terminal state,[],[]
20260924_215150_n6lu,E04-successful-compensation,inv:no-active-locks,true,No ACTIVE (provisional) lock outlives its transaction,0,0
20260924_215150_n6lu,E04-successful-compensation,inv:no-capacity-held-after-rollback,true,ROLLED_BACK/FAILED transactions hold no CONFIRMED locks,0,0
20260924_215150_n6lu,E04-successful-compensation,inv:no-server-errors,true,No 5xx responses,0,0
20260924_215150_n6lu,E05-compensation-failure,rollback-failed,true,Every transaction ends ROLLBACK_FAILED,20,20
20260924_215150_n6lu,E05-compensation-failure,single-failure-split,true,One failed and one successful compensation per transaction (single failure),"[10,10]","[10,10]"
20260924_215150_n6lu,E05-compensation-failure,double-failure-split,true,Two failed compensations per transaction (double failure),"[20,0]","[20,0]"
20260924_215150_n6lu,E05-compensation-failure,locks-held,true,Each failed compensation leaves exactly one unresolved CONFIRMED lock,30,30
20260924_215150_n6lu,E05-compensation-failure,manual-review,true,Persisted advisory is MANUAL_OPERATOR_REVIEW for every transaction,"{""MANUAL_OPERATOR_REVIEW"":20}","{""MANUAL_OPERATOR_REVIEW"":20}"
20260924_215150_n6lu,E05-compensation-failure,inv:terminal-states,true,Every transaction reached a terminal state,[],[]
20260924_215150_n6lu,E05-compensation-failure,inv:no-active-locks,true,No ACTIVE (provisional) lock outlives its transaction,0,0
20260924_215150_n6lu,E05-compensation-failure,inv:no-capacity-held-after-rollback,true,ROLLED_BACK/FAILED transactions hold no CONFIRMED locks,0,0
20260924_215150_n6lu,E05-compensation-failure,inv:no-server-errors,true,No 5xx responses,0,0
20260924_215150_n6lu,E06-payment-authorization-failure,all-rolled-back,true,Every transaction ends ROLLED_BACK,10,10
20260924_215150_n6lu,E06-payment-authorization-failure,auth-failed,true,Authorization failure recorded for every transaction,10,10
20260924_215150_n6lu,E06-payment-authorization-failure,no-provider-calls,true,No provider operation was attempted,0,0
20260924_215150_n6lu,E06-payment-authorization-failure,locks-released,true,All locks released,"[30,0]","[30,0]"
20260924_215150_n6lu,E06-payment-authorization-failure,inv:terminal-states,true,Every transaction reached a terminal state,[],[]
