compensation_id,booking_id,customer_id,incident_type,original_amount,compensation_amount,currency,compensation_type,status,resolution,created_at
COMP000001,BK000974,CUST00101,payment_failure,79847,2710,INR,partial_refund,processed,provider_rebooked,2026-10-24
COMP000002,BK000938,CUST00242,service_unavailable,101514,12810,INR,cash_compensation,rejected,partial_refund,2026-12-30
COMP000003,BK000548,CUST00021,cancellation,67935,1444,INR,partial_refund,pending,customer_credit,2027-01-18
COMP000004,BK000859,CUST00115,overbooking,99760,7693,INR,refund,rejected,full_refund,2027-01-27
COMP000005,BK000783,CUST00106,partial_booking,45088,10115,INR,credit,pending,provider_rebooked,2026-11-28
COMP000006,BK000318,CUST00167,provider_failure,53735,7979,INR,voucher,approved,full_refund,2027-01-14
COMP000007,BK000317,CUST00284,payment_failure,115902,6960,INR,credit,approved,manual_review,2026-11-26
COMP000008,BK000846,CUST00241,service_unavailable,28540,13187,INR,refund,processed,provider_rebooked,2027-01-15
COMP000009,BK000716,CUST00134,provider_failure,82844,8942,INR,partial_refund,pending,customer_credit,2027-03-29
COMP000010,BK000810,CUST00232,partial_booking,128121,2347,INR,voucher,processed,customer_credit,2027-01-15
COMP000011,BK000128,CUST00144,payment_failure,103333,18422,INR,voucher,rejected,customer_credit,2026-12-30
COMP000012,BK000651,CUST00142,overbooking,62932,20969,INR,credit,rejected,partial_refund,2026-11-14
COMP000013,BK000362,CUST00288,cancellation,1519,1264,INR,credit,approved,alternative_service,2027-03-30
COMP000014,BK000481,CUST00272,provider_failure,139246,13389,INR,credit,rejected,full_refund,2026-12-23
COMP000015,BK000963,CUST00127,payment_failure,142279,6939,INR,credit,rejected,customer_credit,2027-03-18
COMP000016,BK000501,CUST00006,cancellation,13121,18396,INR,refund,processed,full_refund,2027-03-15
COMP000017,BK000217,CUST00212,overbooking,111300,6535,INR,credit,approved,customer_credit,2027-01-31
COMP000018,BK000729,CUST00114,partial_booking,148899,15693,INR,cash_compensation,approved,alternative_service,2026-10-08
COMP000019,BK000372,CUST00225,provider_failure,24948,14066,INR,credit,rejected,customer_credit,2026-10-07
COMP000020,BK000889,CUST00167,overbooking,15240,24680,INR,partial_refund,rejected,full_refund,2027-01-09
COMP000021,BK000093,CUST00275,cancellation,15043,21561,INR,credit,processed,provider_rebooked,2026-10-07
COMP000022,BK000653,CUST00284,overbooking,111071,17805,INR,partial_refund,pending,customer_credit,2027-03-15
COMP000023,BK000084,CUST00020,provider_failure,112871,22398,INR,refund,rejected,customer_credit,2027-01-23
COMP000024,BK000267,CUST00077,payment_failure,75563,17773,INR,cash_compensation,processed,customer_credit,2026-11-27
COMP000025,BK000065,CUST00204,partial_booking,144969,836,INR,credit,pending,customer_credit,2027-03-26
COMP000026,BK000109,CUST00021,cancellation,79635,2457,INR,partial_refund,approved,manual_review,2027-03-03
COMP000027,BK000493,CUST00229,provider_failure,7752,2705,INR,voucher,pending,customer_credit,2026-10-24
COMP000028,BK000825,CUST00250,partial_booking,9422,11000,INR,voucher,pending,provider_rebooked,2026-11-06
COMP000029,BK000068,CUST00289,service_unavailable,27788,15588,INR,credit,processed,full_refund,2026-10-16
COMP000030,BK000405,CUST00015,payment_failure,37449,11131,INR,voucher,processed,alternative_service,2027-03-09
COMP000031,BK000788,CUST00068,provider_failure,124237,19431,INR,cash_compensation,processed,manual_review,2026-10-08
COMP000032,BK000641,CUST00025,service_unavailable,85742,21677,INR,voucher,processed,partial_refund,2026-10-26
COMP000033,BK000271,CUST00245,overbooking,92457,7655,INR,refund,pending,full_refund,2027-02-28
COMP000034,BK000008,CUST00230,partial_booking,137685,18300,INR,partial_refund,rejected,provider_rebooked,2026-12-23
COMP000035,BK000850,CUST00047,service_unavailable,60694,21893,INR,refund,pending,manual_review,2026-12-05
COMP000036,BK000003,CUST00209,service_unavailable,124358,2119,INR,credit,approved,full_refund,2027-01-04
COMP000037,BK000565,CUST00103,provider_failure,124427,18077,INR,cash_compensation,processed,customer_credit,2026-12-01
COMP000038,BK000567,CUST00009,provider_failure,103775,16816,INR,cash_compensation,approved,provider_rebooked,2026-10-18
COMP000039,BK000307,CUST00153,overbooking,105431,9135,INR,refund,approved,partial_refund,2026-12-19
COMP000040,BK000302,CUST00163,payment_failure,20158,9589,INR,refund,pending,alternative_service,2026-12-28
COMP000041,BK000137,CUST00200,provider_failure,35465,24820,INR,credit,rejected,partial_refund,2027-02-11
COMP000042,BK000430,CUST00198,service_unavailable,69350,8976,INR,voucher,rejected,provider_rebooked,2026-11-27
COMP000043,BK000416,CUST00060,service_unavailable,78750,8477,INR,refund,processed,customer_credit,2026-12-05
COMP000044,BK000740,CUST00180,payment_failure,76467,9828,INR,credit,approved,full_refund,2026-11-25
COMP000045,BK000360,CUST00269,overbooking,144174,2546,INR,partial_refund,rejected,full_refund,2026-12-19
COMP000046,BK000499,CUST00299,cancellation,71825,10695,INR,cash_compensation,rejected,alternative_service,2026-12-04
COMP000047,BK000824,CUST00218,partial_booking,76407,12429,INR,cash_compensation,processed,provider_rebooked,2026-12-31
COMP000048,BK000536,CUST00111,partial_booking,115485,1429,INR,voucher,processed,alternative_service,2027-03-24
COMP000049,BK000491,CUST00296,overbooking,61426,4132,INR,credit,approved,provider_rebooked,2027-03-19
COMP000050,BK000654,CUST00040,payment_failure,67805,22857,INR,partial_refund,processed,customer_credit,2027-03-07
COMP000051,BK000552,CUST00068,service_unavailable,136721,8587,INR,partial_refund,rejected,partial_refund,2027-03-26
COMP000052,BK000102,CUST00146,service_unavailable,47203,8224,INR,credit,processed,customer_credit,2026-12-19
COMP000053,BK000814,CUST00124,service_unavailable,86737,23860,INR,partial_refund,approved,manual_review,2026-12-21
COMP000054,BK000563,CUST00007,payment_failure,91042,21002,INR,partial_refund,rejected,partial_refund,2027-01-17
COMP000055,BK000912,CUST00172,provider_failure,49730,21465,INR,voucher,processed,full_refund,2027-01-06
COMP000056,BK000518,CUST00056,provider_failure,87004,20031,INR,credit,rejected,provider_rebooked,2027-03-26
COMP000057,BK000297,CUST00229,service_unavailable,102731,22773,INR,cash_compensation,approved,provider_rebooked,2026-11-15
COMP000058,BK000387,CUST00102,cancellation,85452,20755,INR,credit,approved,partial_refund,2027-02-18
COMP000059,BK000180,CUST00291,payment_failure,41059,7633,INR,credit,approved,provider_rebooked,2026-10-01
COMP000060,BK000528,CUST00110,overbooking,10601,14722,INR,cash_compensation,approved,manual_review,2027-01-09
COMP000061,BK000795,CUST00022,payment_failure,73740,7228,INR,cash_compensation,processed,alternative_service,2027-03-06
COMP000062,BK000092,CUST00251,overbooking,61713,5853,INR,voucher,pending,provider_rebooked,2027-01-28
COMP000063,BK000360,CUST00086,payment_failure,22116,6875,INR,partial_refund,pending,manual_review,2027-02-05
COMP000064,BK000054,CUST00289,provider_failure,58122,23338,INR,partial_refund,pending,partial_refund,2027-02-28
COMP000065,BK000513,CUST00094,provider_failure,120135,11536,INR,refund,rejected,full_refund,2026-10-23
COMP000066,BK000809,CUST00221,payment_failure,124915,5240,INR,voucher,pending,alternative_service,2026-12-18
COMP000067,BK000034,CUST00278,service_unavailable,76691,7615,INR,cash_compensation,rejected,full_refund,2026-10-22
COMP000068,BK000922,CUST00134,partial_booking,27408,22278,INR,voucher,processed,manual_review,2026-11-28
