vehicle_id,provider,vehicle_type,city,state,pickup_location,drop_location,price,currency,capacity
CAR00001,CityRide,Luxury Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,3280,INR,4
CAR00002,TravelGo,Tempo Traveller,Jaipur,Rajasthan,Jaipur Airport,Jaipur Bus Stand,406,INR,7
CAR00003,UrbanMove,Tempo Traveller,Kochi,Kerala,Kochi Airport,Kochi City Centre,3805,INR,7
CAR00004,BookGuard Cars,Sedan,Delhi,Delhi,Delhi Airport,Delhi Railway Station,3329,INR,5
CAR00005,UrbanMove,Luxury Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai Railway Station,1304,INR,7
CAR00006,QuickCab,Tempo Traveller,Kochi,Kerala,Kochi Airport,Kochi Bus Stand,1739,INR,7
CAR00007,UrbanMove,Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai Railway Station,1778,INR,4
CAR00008,QuickCab,SUV,Udaipur,Rajasthan,Udaipur Airport,Udaipur Railway Station,881,INR,4
CAR00009,BookGuard Cars,Sedan,Udaipur,Rajasthan,Udaipur Airport,Udaipur Bus Stand,3997,INR,6
CAR00010,TravelGo,Hatchback,Kolkata,West Bengal,Kolkata Airport,Kolkata Bus Stand,1284,INR,4
CAR00011,BookGuard Cars,Tempo Traveller,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,2446,INR,6
CAR00012,UrbanMove,Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Railway Station,4771,INR,4
CAR00013,QuickCab,Luxury Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad City Centre,588,INR,7
CAR00014,BookGuard Cars,SUV,Pune,Maharashtra,Pune Airport,Pune Bus Stand,1291,INR,4
CAR00015,CityRide,Tempo Traveller,Udaipur,Rajasthan,Udaipur Airport,Udaipur Bus Stand,2769,INR,4
CAR00016,TravelGo,Luxury Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,561,INR,5
CAR00017,BookGuard Cars,Hatchback,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Railway Station,389,INR,6
CAR00018,UrbanMove,Luxury Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai Bus Stand,2371,INR,7
CAR00019,TravelGo,Sedan,Udaipur,Rajasthan,Udaipur Airport,Udaipur City Centre,523,INR,4
CAR00020,TravelGo,Hatchback,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Railway Station,4965,INR,7
CAR00021,UrbanMove,Luxury Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Bus Stand,2931,INR,7
CAR00022,CityRide,Tempo Traveller,Kolkata,West Bengal,Kolkata Airport,Kolkata Railway Station,1706,INR,5
CAR00023,BookGuard Cars,Hatchback,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,2706,INR,5
CAR00024,CityRide,Luxury Sedan,Kolkata,West Bengal,Kolkata Airport,Kolkata Railway Station,3437,INR,5
CAR00025,UrbanMove,Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,1036,INR,4
CAR00026,UrbanMove,Tempo Traveller,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Bus Stand,4375,INR,4
CAR00027,QuickCab,Hatchback,Kochi,Kerala,Kochi Airport,Kochi City Centre,1314,INR,7
CAR00028,CityRide,Hatchback,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,300,INR,4
CAR00029,BookGuard Cars,Tempo Traveller,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Railway Station,3653,INR,5
CAR00030,BookGuard Cars,Sedan,Pune,Maharashtra,Pune Airport,Pune City Centre,1780,INR,7
CAR00031,QuickCab,SUV,Mumbai,Maharashtra,Mumbai Airport,Mumbai City Centre,4659,INR,5
CAR00032,CityRide,Hatchback,Goa,Goa,Goa Airport,Goa Bus Stand,1885,INR,5
CAR00033,QuickCab,Luxury Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Railway Station,2488,INR,4
CAR00034,QuickCab,Hatchback,Jaipur,Rajasthan,Jaipur Airport,Jaipur Bus Stand,2871,INR,5
CAR00035,CityRide,Luxury Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Bus Stand,1481,INR,6
CAR00036,TravelGo,SUV,Kochi,Kerala,Kochi Airport,Kochi Bus Stand,4189,INR,7
CAR00037,UrbanMove,Luxury Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Bus Stand,4749,INR,7
CAR00038,UrbanMove,Tempo Traveller,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad City Centre,827,INR,5
CAR00039,CityRide,Tempo Traveller,Kochi,Kerala,Kochi Airport,Kochi Bus Stand,453,INR,4
CAR00040,BookGuard Cars,Hatchback,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Bus Stand,1789,INR,5
CAR00041,UrbanMove,Sedan,Kochi,Kerala,Kochi Airport,Kochi Bus Stand,2349,INR,5
CAR00042,TravelGo,SUV,Jaipur,Rajasthan,Jaipur Airport,Jaipur City Centre,775,INR,6
CAR00043,QuickCab,Luxury Sedan,Jaipur,Rajasthan,Jaipur Airport,Jaipur City Centre,1391,INR,4
CAR00044,QuickCab,SUV,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,3238,INR,4
CAR00045,TravelGo,SUV,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,2786,INR,5
CAR00046,CityRide,SUV,Chennai,Tamil Nadu,Chennai Airport,Chennai City Centre,2718,INR,7
CAR00047,QuickCab,Tempo Traveller,Chennai,Tamil Nadu,Chennai Airport,Chennai Bus Stand,648,INR,5
CAR00048,CityRide,Hatchback,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Railway Station,1397,INR,5
CAR00049,UrbanMove,Tempo Traveller,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,1804,INR,6
CAR00050,TravelGo,Tempo Traveller,Manali,Himachal Pradesh,Manali Airport,Manali City Centre,1775,INR,6
CAR00051,UrbanMove,SUV,Udaipur,Rajasthan,Udaipur Airport,Udaipur Railway Station,1345,INR,4
CAR00052,QuickCab,Tempo Traveller,Udaipur,Rajasthan,Udaipur Airport,Udaipur City Centre,2337,INR,4
CAR00053,UrbanMove,Luxury Sedan,Delhi,Delhi,Delhi Airport,Delhi Bus Stand,670,INR,7
CAR00054,TravelGo,Tempo Traveller,Kochi,Kerala,Kochi Airport,Kochi City Centre,4106,INR,4
CAR00055,TravelGo,Luxury Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Bus Stand,874,INR,6
CAR00056,CityRide,Luxury Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai Bus Stand,968,INR,7
CAR00057,CityRide,SUV,Jaipur,Rajasthan,Jaipur Airport,Jaipur Railway Station,307,INR,4
CAR00058,BookGuard Cars,Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad City Centre,4806,INR,6
CAR00059,QuickCab,Hatchback,Delhi,Delhi,Delhi Airport,Delhi Railway Station,2913,INR,4
CAR00060,BookGuard Cars,Sedan,Pune,Maharashtra,Pune Airport,Pune City Centre,932,INR,5
CAR00061,CityRide,Tempo Traveller,Manali,Himachal Pradesh,Manali Airport,Manali Railway Station,1982,INR,5
CAR00062,BookGuard Cars,Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,1064,INR,6
CAR00063,UrbanMove,Tempo Traveller,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Railway Station,2089,INR,6
CAR00064,UrbanMove,Hatchback,Hyderabad,Telangana,Hyderabad Airport,Hyderabad City Centre,1628,INR,6
CAR00065,TravelGo,Luxury Sedan,Jaipur,Rajasthan,Jaipur Airport,Jaipur Bus Stand,2944,INR,7
CAR00066,CityRide,Luxury Sedan,Kolkata,West Bengal,Kolkata Airport,Kolkata Bus Stand,3828,INR,7
CAR00067,UrbanMove,Hatchback,Udaipur,Rajasthan,Udaipur Airport,Udaipur Railway Station,3857,INR,4
CAR00068,CityRide,Sedan,Manali,Himachal Pradesh,Manali Airport,Manali Bus Stand,868,INR,7
CAR00069,BookGuard Cars,Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai City Centre,412,INR,6
CAR00070,UrbanMove,Tempo Traveller,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,3481,INR,5
CAR00071,CityRide,SUV,Jaipur,Rajasthan,Jaipur Airport,Jaipur Railway Station,3248,INR,4
CAR00072,CityRide,Sedan,Pune,Maharashtra,Pune Airport,Pune Railway Station,4534,INR,4
CAR00073,TravelGo,Sedan,Mysuru,Karnataka,Mysuru Airport,Mysuru Railway Station,775,INR,5
CAR00074,BookGuard Cars,Tempo Traveller,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,4799,INR,7
CAR00075,BookGuard Cars,SUV,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Bus Stand,4986,INR,6
CAR00076,TravelGo,Tempo Traveller,Kolkata,West Bengal,Kolkata Airport,Kolkata City Centre,438,INR,7
CAR00077,BookGuard Cars,Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,335,INR,4
CAR00078,QuickCab,SUV,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,4662,INR,6
CAR00079,TravelGo,SUV,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,515,INR,4
CAR00080,QuickCab,SUV,Mysuru,Karnataka,Mysuru Airport,Mysuru City Centre,2810,INR,4
CAR00081,CityRide,Tempo Traveller,Kolkata,West Bengal,Kolkata Airport,Kolkata Railway Station,1264,INR,7
CAR00082,UrbanMove,Luxury Sedan,Kolkata,West Bengal,Kolkata Airport,Kolkata City Centre,2563,INR,4
CAR00083,UrbanMove,Hatchback,Jaipur,Rajasthan,Jaipur Airport,Jaipur City Centre,1145,INR,7
CAR00084,TravelGo,Hatchback,Pune,Maharashtra,Pune Airport,Pune City Centre,2067,INR,6
CAR00085,TravelGo,Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad City Centre,2828,INR,6
CAR00086,UrbanMove,Tempo Traveller,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Railway Station,4437,INR,7
CAR00087,TravelGo,SUV,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Bus Stand,3416,INR,7
CAR00088,BookGuard Cars,Sedan,Udaipur,Rajasthan,Udaipur Airport,Udaipur Railway Station,1634,INR,6
CAR00089,QuickCab,Tempo Traveller,Chennai,Tamil Nadu,Chennai Airport,Chennai Bus Stand,2871,INR,5
CAR00090,UrbanMove,Luxury Sedan,Goa,Goa,Goa Airport,Goa Bus Stand,3636,INR,4
CAR00091,CityRide,Tempo Traveller,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Bus Stand,2815,INR,6
CAR00092,BookGuard Cars,Tempo Traveller,Kochi,Kerala,Kochi Airport,Kochi Bus Stand,4359,INR,5
CAR00093,CityRide,Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,3956,INR,6
CAR00094,CityRide,Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Railway Station,999,INR,6
CAR00095,UrbanMove,Luxury Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Railway Station,4360,INR,4
CAR00096,BookGuard Cars,Luxury Sedan,Manali,Himachal Pradesh,Manali Airport,Manali Railway Station,2702,INR,5
CAR00097,QuickCab,Sedan,Goa,Goa,Goa Airport,Goa Bus Stand,3291,INR,7
CAR00098,BookGuard Cars,Luxury Sedan,Mysuru,Karnataka,Mysuru Airport,Mysuru City Centre,801,INR,4
CAR00099,TravelGo,Luxury Sedan,Delhi,Delhi,Delhi Airport,Delhi Railway Station,2585,INR,6
CAR00100,TravelGo,Hatchback,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Railway Station,3997,INR,6
CAR00101,UrbanMove,Sedan,Kolkata,West Bengal,Kolkata Airport,Kolkata Bus Stand,1479,INR,5
CAR00102,QuickCab,Sedan,Manali,Himachal Pradesh,Manali Airport,Manali Railway Station,4729,INR,7
CAR00103,BookGuard Cars,Luxury Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,2986,INR,6
CAR00104,CityRide,Hatchback,Goa,Goa,Goa Airport,Goa Railway Station,3757,INR,7
CAR00105,CityRide,Hatchback,Manali,Himachal Pradesh,Manali Airport,Manali City Centre,2864,INR,5
CAR00106,QuickCab,SUV,Jaipur,Rajasthan,Jaipur Airport,Jaipur Railway Station,1181,INR,7
CAR00107,BookGuard Cars,Luxury Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad City Centre,582,INR,4
CAR00108,CityRide,SUV,Hyderabad,Telangana,Hyderabad Airport,Hyderabad City Centre,333,INR,7
CAR00109,UrbanMove,SUV,Kochi,Kerala,Kochi Airport,Kochi Railway Station,726,INR,4
CAR00110,BookGuard Cars,Hatchback,Jaipur,Rajasthan,Jaipur Airport,Jaipur City Centre,1329,INR,4
CAR00111,UrbanMove,Luxury Sedan,Manali,Himachal Pradesh,Manali Airport,Manali Bus Stand,3104,INR,4
CAR00112,BookGuard Cars,SUV,Goa,Goa,Goa Airport,Goa Railway Station,479,INR,7
CAR00113,QuickCab,Luxury Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai Railway Station,3702,INR,6
CAR00114,BookGuard Cars,Luxury Sedan,Mysuru,Karnataka,Mysuru Airport,Mysuru City Centre,2805,INR,5
CAR00115,UrbanMove,Luxury Sedan,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,4093,INR,4
CAR00116,UrbanMove,Sedan,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Bus Stand,1951,INR,4
CAR00117,CityRide,Luxury Sedan,Pune,Maharashtra,Pune Airport,Pune City Centre,3983,INR,5
CAR00118,UrbanMove,Tempo Traveller,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,966,INR,6
CAR00119,CityRide,Sedan,Manali,Himachal Pradesh,Manali Airport,Manali Bus Stand,3972,INR,5
CAR00120,UrbanMove,SUV,Mysuru,Karnataka,Mysuru Airport,Mysuru Railway Station,3564,INR,6
CAR00121,TravelGo,Hatchback,Delhi,Delhi,Delhi Airport,Delhi City Centre,4085,INR,4
CAR00122,BookGuard Cars,Luxury Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai City Centre,309,INR,6
CAR00123,TravelGo,SUV,Goa,Goa,Goa Airport,Goa Bus Stand,1386,INR,6
CAR00124,TravelGo,Tempo Traveller,Chennai,Tamil Nadu,Chennai Airport,Chennai City Centre,4977,INR,6
CAR00125,UrbanMove,Luxury Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,1079,INR,6
CAR00126,QuickCab,Hatchback,Manali,Himachal Pradesh,Manali Airport,Manali City Centre,3300,INR,7
CAR00127,UrbanMove,Sedan,Jaipur,Rajasthan,Jaipur Airport,Jaipur Bus Stand,4883,INR,5
CAR00128,UrbanMove,Luxury Sedan,Mysuru,Karnataka,Mysuru Airport,Mysuru Railway Station,264,INR,4
