event_id,transaction_id,booking_id,provider_id,event_type,resource_type,status,message,timestamp
EVT0000001,TXN000291,BK000592,PROV00079,provider_success,transport,failure,payment rejected,2026-11-26T08:49:00
EVT0000002,TXN000341,BK000999,PROV00022,booking_confirmed,hotel_room,pending,request timed out,2027-03-11T11:46:00
EVT0000003,TXN000158,BK000400,PROV00024,provider_called,hotel_room,failure,request timed out,2026-11-04T02:17:00
EVT0000004,TXN000171,BK000134,PROV00157,rollback_started,transport,pending,rollback initiated,2027-02-10T12:52:00
EVT0000005,TXN000832,BK000604,PROV00025,rollback_started,hotel_room,failure,provider unavailable,2027-01-10T14:08:00
EVT0000006,TXN000978,BK000581,PROV00113,provider_success,transport,pending,resource unavailable,2026-10-05T01:33:00
EVT0000007,TXN000964,BK000228,PROV00066,rollback_failure,activity_slot,success,rollback completed,2026-10-13T08:14:00
EVT0000008,TXN000889,BK000201,PROV00297,rollback_success,hotel_room,pending,resource unavailable,2027-03-01T09:26:00
EVT0000009,TXN000506,BK000376,PROV00193,availability_checked,hotel_room,success,operation completed,2027-02-25T17:01:00
EVT0000010,TXN000739,BK000094,PROV00042,resource_locked,flight_seat,pending,resource unavailable,2027-01-10T22:29:00
EVT0000011,TXN000570,BK000399,PROV00199,payment_failure,transport,failure,rollback completed,2027-01-11T11:28:00
EVT0000012,TXN000995,BK000472,PROV00040,payment_failure,flight_seat,success,payment rejected,2026-12-01T04:15:00
EVT0000013,TXN000542,BK000137,PROV00058,booking_cancelled,transport,failure,rollback initiated,2026-11-16T18:23:00
EVT0000014,TXN000562,BK000442,PROV00024,payment_failure,flight_seat,success,payment rejected,2026-10-17T12:13:00
EVT0000015,TXN000111,BK000962,PROV00017,rollback_started,transport,success,provider unavailable,2027-03-21T20:10:00
EVT0000016,TXN000685,BK000431,PROV00253,resource_locked,transport,pending,operation completed,2026-12-08T13:17:00
EVT0000017,TXN000344,BK000884,PROV00126,booking_started,activity_slot,pending,resource unavailable,2026-12-29T20:37:00
EVT0000018,TXN000783,BK000348,PROV00044,booking_cancelled,transport,failure,resource unavailable,2026-12-26T23:49:00
