availability_check_id,customer_id,resource_type,resource_id,requested_quantity,available_quantity_at_check,availability_result,reservation_lock,check_duration_ms,status
CHK000001,CUST00595,transport,CAR00379,1,6,insufficient,temporary_lock,743,failed
CHK000002,CUST00825,activity_slot,FLT00316,3,18,available,none,1022,passed
CHK000003,CUST00482,hotel_room,AINV00338,1,3,unavailable,none,638,passed
CHK000004,CUST00189,activity_slot,CAR00089,6,2,available,none,938,passed
CHK000005,CUST00134,transport,AINV00117,3,3,insufficient,lock_expired,1392,timeout
CHK000006,CUST00276,activity_slot,AINV00066,2,14,available,lock_expired,486,failed
CHK000007,CUST00639,hotel_room,FLT00045,6,9,insufficient,lock_expired,935,failed
CHK000008,CUST00263,flight_seat,ROOM00065,2,1,unavailable,none,89,failed
CHK000009,CUST00061,hotel_room,ROOM00106,4,1,unavailable,lock_expired,592,timeout
CHK000010,CUST00497,activity_slot,AINV00031,1,4,available,none,1373,passed
CHK000011,CUST00680,activity_slot,FLT00475,2,6,unavailable,lock_expired,462,passed
CHK000012,CUST00046,transport,AINV00396,4,11,insufficient,none,1341,timeout
CHK000013,CUST00375,hotel_room,FLT00315,4,13,available,temporary_lock,269,timeout
CHK000014,CUST00823,transport,ROOM00405,2,20,insufficient,lock_expired,256,passed
CHK000015,CUST00716,transport,CAR00260,3,17,insufficient,none,810,timeout
CHK000016,CUST00912,hotel_room,AINV00060,1,13,available,temporary_lock,1290,passed
CHK000017,CUST00818,transport,AINV00429,3,4,available,none,261,passed
CHK000018,CUST00337,flight_seat,CAR00167,4,9,unavailable,temporary_lock,769,passed
CHK000019,CUST00870,flight_seat,AINV00488,1,4,insufficient,none,187,timeout
CHK000020,CUST00679,activity_slot,CAR00085,4,7,available,temporary_lock,475,passed
CHK000021,CUST00026,flight_seat,CAR00257,4,5,available,none,1251,passed
CHK000022,CUST00616,activity_slot,CAR00441,2,14,unavailable,lock_expired,1295,timeout
CHK000023,CUST00927,activity_slot,FLT00203,1,8,unavailable,none,1068,passed
CHK000024,CUST00832,activity_slot,AINV00252,6,11,available,temporary_lock,369,timeout
CHK000025,CUST00927,activity_slot,FLT00192,2,19,available,none,453,failed
CHK000026,CUST00520,hotel_room,ROOM00241,4,16,unavailable,lock_expired,174,passed
CHK000027,CUST00783,flight_seat,FLT00159,6,11,insufficient,lock_expired,1497,timeout
CHK000028,CUST00010,transport,FLT00455,3,1,insufficient,none,1156,passed
CHK000029,CUST00159,activity_slot,CAR00083,3,14,available,temporary_lock,417,passed
CHK000030,CUST00987,transport,FLT00001,4,13,insufficient,none,775,passed
CHK000031,CUST00984,activity_slot,CAR00345,6,7,available,temporary_lock,1050,timeout
CHK000032,CUST00177,transport,FLT00036,3,11,insufficient,lock_expired,390,failed
CHK000033,CUST00184,flight_seat,ROOM00338,2,19,insufficient,none,636,passed
CHK000034,CUST00752,hotel_room,FLT00315,6,1,available,none,1057,passed
CHK000035,CUST00459,transport,FLT00270,6,1,insufficient,lock_expired,144,failed
CHK000036,CUST00124,transport,ROOM00359,1,17,insufficient,lock_expired,578,timeout
CHK000037,CUST00333,transport,AINV00471,1,14,insufficient,none,1100,passed
CHK000038,CUST00263,transport,ROOM00156,6,2,unavailable,temporary_lock,272,passed
CHK000039,CUST00399,transport,AINV00340,4,3,insufficient,lock_expired,998,timeout
